row_no,行番号,納品先CD,自社名,得意先名称,納品先名,納品日,伝票管理番号,supplier_name,supplier_zipcode,supplier_address,supplier_tel,supplier_fax,商品名,数量,販売単価,金額,訂正後売価金額合計,数量合計,商品金額
1,52,810-0022,福岡県福岡市中央区薬院,YIG1,YIG1,2014年 9月 24日,100390,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,液晶ﾃﾞｨｽﾌﾟﾚｲ　15ｲﾝﾁ,10,16704,167040,R5001,7954,220994
2,52,810-0022,福岡県福岡市中央区薬院,YIG1,YIG1,2014年 9月 24日,100390,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,PEC　DC-23S12KIEPO　パソコン,20,2000,40000,R5001,7954,220994
3,52,810-0022,福岡県福岡市中央区薬院,YIG1,YIG1,2014年 9月 24日,100390,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Mango,50,100,5000,R5001,7954,220994
4,52,810-0022,福岡県福岡市中央区薬院,YIG1,YIG1,2014年 9月 24日,100390,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Peach,10,1000,10000,R5001,7954,220994
1,53,910-0022,Osaka,Miracle Inc,YIG2,2014年 9月 24日,100391,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Apple,40,500,20000,,7954,87954
2,53,910-0022,Osaka,Miracle Inc,YIG2,2014年 9月 24日,100391,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Orange,50,1000,50000,,7954,87954
3,53,910-0022,Osaka,Miracle Inc,YIG2,2014年 9月 24日,100391,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Mango,10,500,5000,,7954,87954
4,53,910-0022,Osaka,Miracle Inc,YIG2,2014年 9月 24日,100391,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Peach,10,500,5000,,7954,87954
1,54,710-0022,Tokyo,RS Inc,YIG3,2014年 9月 24日,100392,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Apple,30,500,15000,,7954,92954
2,54,710-0022,Tokyo,RS Inc,YIG3,2014年 9月 24日,100392,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Orange,40,500,20000,,7954,92954
3,54,710-0022,Tokyo,RS Inc,YIG3,2014年 9月 24日,100392,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Mango,50,500,25000,,7954,92954
4,54,710-0022,Tokyo,RS Inc,YIG3,2014年 9月 24日,100392,"システム構築全般
有限会社 ビット",929-1125,"石川県かほく市宇野気1-26
○×三角ビル9F",076-283-5686,076-283-5377,Peach,50,500,25000,,7954,92954
